French,English
pensais,thought
aide,help
genre,kind
frère,brother
laisser,let
mettre,to put
laisse,leash
eux,them
ville,city
parlé,speak
bébé,baby
heures,hours
vont,will
pendant,while
aucune,any
parle,speak
compris,understood
attention,Warning
voici,here is
donner,give
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
façon,way
premier,first
première,first
pouvoir,power
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
chambre,bedroom
droit,law
aimerais,would like to
mari,husband
enfin,finally
espère,hope
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
fin,end
plutôt,rather
aura,will have
bureau,office
